"HolderAddress","Balance","PendingBalanceUpdate"
"0x0480f6177fc90d3cb4c6daf1c6f3c94a0a67a692","1","No"
"0x738c4223d3fb8da565e508e05f93844c9b9cdc48","14505377","No"
"0xf8bc27ede6e92248b0f6bae03fd6507b0e4b45ec","16670251","No"
"0x7b36830fe00693f1e3df203c1f844c9825f34a44","16670251","No"
"0xdad581b9f970b240a813af675f5233fddbc8d371","3745292.71584563","No"
"0xf2090990892c8c88a9eb5f3f04ddc0435503585f","2632725859.88644","No"
"0xdd4d4c092eade4b2d9ad9b7cfb823957650adc34","23270251","No"
"0xce663190c13e5235640a07bb82451e6c72df6da0","16670251","No"
"0xbf9e52af2323fe70d0a31aa232eb5739a65d019f","9670251","No"
"0x11bba188edccc6ab5594103859c2301c2424ad64","133193190","No"
"0xa541c4fa54fe573c2ddc5b2538aa7213c3ccaf3a","3000001","No"
"0x8cb9b54445cd5a5e1fcd8d5512b0534f8a50420f","9670251","No"
"0x55848a2588d0354a0a3959e0ba93aa124d508811","9670251","No"
"0x5ef459fde6329bd76dc0b2e64546720d03a09d17","3141553167.02433","No"
"0x56958f16098feb35c1f489138861548b23258d73","29818317.8358938","No"
"0x797d8774a6b0a126cbcc588effa22d2ad4b29564","54153406","No"
"0xfa5750817a1eb836a766964883a6c9809986fa2d","4708091","No"
"0x5f53199c287fbc10c24e0152cf7c156639bfb65f","27444489.7094139","No"
"0x25e4eb2f1ffc46fa894fdc74bb3a696a00009965","9670251","No"
"0xf0e411a30e7f29f297c235582f323efbb1d878c6","16922939","No"
"0xfa504d2222d02f73db0c54a71bfd0ed890e2fe37","16922939","No"
"0x9565d364b45050e394d81e4112df807404bf6297","41","No"
"0xde7e0e438d5e86badd3f7309477629cb84b66db3","9670251","No"
"0xbb840c6455eb5ee6c325e842f0c3c629512eab8d","9670251","No"
"0xb060bccb1963e12122d8a1a28e7dc7187fce3c16","26240502","No"
"0x6c42b88a24842f6637006a227bd046db72ba8bcb","109670251","No"
"0x2c89f14304c74a3d1c456857d6d02f57ab1477f8","14505377","No"
"0x9bfe1fa65ab827d5f2fb50a1def0dfa4e701c456","9670251","No"
"0xb6978d3e4f9f0fc4d9705ad8d33afd2fdc87e4c0","16670251","No"
"0x3d0ae35ca647dfd1dd15061f9fb500a8c3f0b750","9670251","No"
"0x8dc839c5a8f7eca218af3f98ffd837d44b6a39b7","14505377","No"
"0x1325afa3a2756ee8a90615f603774ed38a820616","9670251","No"
"0x9f386784d7db260db30af615f23148234c315a93","9403430522.16072","No"
"0x0ea4c50e39265d8bf6bc0ac07056be3a123deb4e","16922939","No"
"0x306f8b52dfe3f73fb12cf709f239c179c8b28800","9670251","No"
"0xdd2d53b9e54d6a2598e8d93e01b682b0d417b531","16670251","No"
"0x1a06240f6c44de70ac801a3dfa37b990b6974ab1","33193149","No"
"0x080b6274b25c557bbcbdae9512cdd83af4516e5a","14170251","No"
"0x8285444ce139a32ac09ab8a04bd97e65d9ba1d7b","14505377","No"
"0x27167302a3075577023fcb0596dc886d962c7905","2382050363.10498","No"
"0x02f127f75fd989f513af7670b31ef89b439b7ac9","9670251","No"
"0xf0b30b86fc05ba48ed70ac173014268a4a778608","1601242824.23996","No"
"0x68093d8865f8244d4e2d952ba8c138b4e3a021da","403049801.183306","No"
"0x22b89c7a476e614e263ef3f39c4c5be2b2ef22e3","5000000000","No"
"0xe49431fd6995480c07b818111405fa8adae2e3d6","25373477","No"
"0xf2b47aa2328d8da2075202231961b6932540ceb3","16670251","No"
"0x309299683cd3ba8b3208fd12a7c38931b64c75a4","16740251","No"
"0x4993753497929cd02d5e105b84927e3b60c567b6","9670251","No"
"0xc361c3e3f4bdd0288243bed2f2ac6e56e34165d5","20920586.0572093","No"
"0x32f01e3ad012b6bd9de7c89aef5c9b273f2e52a8","9670251","No"
"0x625fc9bb971bb305a2ad63252665dcfe9098bee9","6600000.39260022","No"
"0xc67ff0506f67dbb27864fc746dd665293f9dcb81","1865666412.31905","No"
"0xe51754039e3af97011754a11a6d45991e3d16836","869423420.581504","No"
"0x0694d901950a1e452bf8c4cb61a05d0dca79bc2f","3922939","No"
"0x714120f3dcaff119e82b923fb28f203249293907","90348465.1250524","No"
"0xb4cf000bedafd92ba503a6e4ccf78025990749bd","23270251","No"
"0xa409bb9b481442a5c3c1aa077dae93c9fdd90026","124270251","No"
"0x5ad4eeca4be1a15775552c1e7a7bcabaa39e5317","9670251","No"
"0xbe8c9ca37cf7213058ded81d336c5e9d699265da","9670251","No"
"0xba3320dad856cf7d92a5260de1247c1a3fd7b7d8","23270251","No"
"0xfab4f9015d606b5d0b39c89a3c45d865f2e6b85e","29241577","No"
"0xd2bf02132ace5a7fbac9622de760cd91e1a7e8eb","16922939","No"
"0xbe67f4e3c42ebf6e656ef1db0f7d44550f508d87","9670251","No"
"0x5d652f2404b7e63dda9bf02f33cdc095c65d889d","18373477","No"
"0x7efdc4503f91f51b7702ebffca302fb65062ef65","14505377","No"
"0x7658d1340debd272a458c4ed4cffd57f656b2fc0","9670251","No"
"0x565e6ae3d1603d52d952e395ae2ccad6f58c0616","9670251","No"
"0xbd7b4896e8f799ebb612a601b126fba48d9bbc7e","197414326.453769","No"
"0x61748a8a341e9db85dd98f1391e4dd77e31fb7ac","8898240.69940533","No"
"0x03ab5800f69e8741119bc2dbb8ae6bdf65f59743","2.0134489E-11","No"
"0x1342e2fb9fa405510c62972c28e56e2a85eebc88","21105377","No"
"0x01ec0409cf2695886539a263d08f2a331c876727","664985424.677486","No"
"0x259d45006f076b8d681ea6a259e5a7afde71322d","36808602","No"
